Latitude,Longitude,Cent,Neighbourhood
40.1297797,33.0836938,N,Akyurt
39.942056, 32.852720,Y,Altindag
40.02559095,32.2383537591131,N,Ayas
39.4721069,33.1404923123125,N,Bala
40.145747,31.9177397101426,N,Beypazari
40.4914804,32.4758257,N,Camlidere
39.906255, 32.863361,Y,Cankaya
39.842477, 32.691229,Y,Cankaya Bati
39.828657, 32.763398,Y,Cankaya Kuzey
39.868641, 32.859711,Y,Cankaya Orta
39.888001, 32.729102,Y,Cankaya Orta Bati
40.2392536,33.0280652,N,Cubuk
39.9173856,33.2342358,Y,Elmadag
39.946285, 32.660381,Y,Etimesgut
39.54536375,32.8267947988106,N,Golbasi
40.2124498,32.2329748842199,N,Gudul
39.4342821,32.5004065,N,Haymana
40.2060344,32.6805261,N,Kazan
40.103903,33.412733,N,Kalecik
39.9907952,32.8518043,Y,Kecioren
40.4727631,32.6500174,N,Kizilcahamam
39.921015,32.919667,Y,Mamak
40.1872424,31.3512768,N,Nallihan
39.579001,32.1440871,N,Polatli
40.0397231,32.9038913,Y,Pursaklar
39.9633448,32.5888739,Y,Sincan
38.9400595,33.5415722,N,Sereflikochisar
39.989327,32.7611428,Y,Yenimahalle
